Lab Test Name,Category Name,Lab / Organization,Turnaround time,Base Price,Discount,Clinic Address,Open Time,Closing Time,Block time,Sunday Hours
PARIETAL CELL ANTIBODY,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SCL-70 ANTIBODY,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
GANGILOSIDE IGG ANTIBODY,Laboratory, Isha Diagnostics,24 hrs,3000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Echinococcus Antibody IgG (Hydatid serology),Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
5-DIHYDROTESTOSTERONE,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Anti SS-A / RO Antibody,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Y CHROMOSOME MICRODELETION,Laboratory, Isha Diagnostics,24 hrs,4500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
1-25-OH Vitamin D,Laboratory, Isha Diagnostics,24 hrs,2500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PLA2 Receptor Antibody,Laboratory, Isha Diagnostics,24 hrs,4500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PLASMA FOLATE,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
INTRINSIC FACTOR ANTIBODY,Laboratory, Isha Diagnostics,24 hrs,3200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
FREE ANDROGEN INDEX,Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
IA2 INSULIN AUTOANTIBODIES,Laboratory, Isha Diagnostics,24 hrs,3800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"1,25 DIHYDROXYVITAMIN D",Laboratory, Isha Diagnostics,24 hrs,3950,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ANTI MICROSOMAL ANTIBODY(ANTI TPO),Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CORTISOL SERUM RANDOM,Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HELICOBACTER PYLORI ANTIGEN DETECTION,Laboratory, Isha Diagnostics,24 hrs,2500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
MACROPROLACTIN LEVELS,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CORTISOL 30 MIN,Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
 ANTI NUCLEAR ANTIBODY (ANA IFA),Laboratory, Isha Diagnostics,24 hrs,1800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ANA PROFILE,Laboratory, Isha Diagnostics,24 hrs,3600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"ANTI CARDIOLIPIN ANTIBODIES, IGG",Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"ANTI CARDIOLIPIN ANTIBODIES, IGM",Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ANTI NUCLEAR ANTIBODY (ANA),Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"ANTI PHOSPHOLIPID ANTIBODY, IGG",Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"ANTI PHOSPHOLIPID ANTIBODY, IGM",Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Anti Sperm Antibody (ASAB)*,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
C-ANCA,Laboratory, Isha Diagnostics,24 hrs,1800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CD3/CD4/CD8/CD45,Laboratory, Isha Diagnostics,24 hrs,1800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CHIKUNGUNYA ANTIBODIES,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CYTOMEGALO VIRUS (CMV.IG M),Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"CYTOMEGALO VIRUS.(CMV, IGG)",Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
DENGUE ANTIGENS (NS1),Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"DENGUE PROFILE (IgG, IgM & Ns1Ag)",Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HBsAg ELISA,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HEPATITIS A VIRUS ANTIBODY (HAV),Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"HEPATITIS B CORE ANTIBODY  (TOTAL ),  ANTI HBC TOTAL",Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"HEPATITIS B CORE ANTIBODY,IGM             (ANTI HBC IGM)",Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HEPATITIS B E ANTIGEN (HBeAg),Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"HEPATITIS B SURFACE ANTIGEN SCREENING, (HBSAG)",Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HEPATITIS C VIRUS ( HCV ) ELISA,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"HEPATITIS C VIRUS ANTIBODY, SCREENING (HCV),",Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"HEPATITIS E VIRUS ANTIBODY,IGM SCREENING (HEV)",Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HERPES SIMPLEX VIRUS 1 & 2 (IGG & IGM),Laboratory, Isha Diagnostics,24 hrs,3200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HIGH SENSITIVE C-REACTIVE PROTEIN,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HIV 1 & 2 - ELISA,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HIV SCREENING (NACO GUIDELINES),Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
IMMUNOGLOBULINS IGG,Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Leptospira Antibody IgM,Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
LEPTOSPIRA ANTIBODY IGM AND IGG,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
LUPUS ANTICOAGULANT,Laboratory, Isha Diagnostics,24 hrs,2500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
P-ANCA,Laboratory, Isha Diagnostics,24 hrs,1800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PROCALCITONIN,Laboratory, Isha Diagnostics,24 hrs,2500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
RUBELLA ANTIBODY (IGG),Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
RUBELLA ANTIBODY (IGM),Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TB GOLD (QUANTIFERON),Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TOXOPLASMA (IGG),Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TOXOPLASMA (IGM),Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TPHA,Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TROPONIN T,Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TYPHIDOT TEST,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
VDRL,Laboratory, Isha Diagnostics,24 hrs,400,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
WIDAL SLIDE,Laboratory, Isha Diagnostics,24 hrs,400,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
WIDAL TUBE TEST,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
WEIL FELIX TEST,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HEPATITIS B VIRUS DNA QUANTITATIVE PCR,Laboratory, Isha Diagnostics,24 hrs,5000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Helicobacter Pylorii IgG,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
KETONE BODIES - SERUM,Laboratory, Isha Diagnostics,24 hrs,2500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Urine Myaglobulin,Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
VDRL(DILUTION),Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Saccharomyces cerevisiae Antibody IgA,Laboratory, Isha Diagnostics,24 hrs,3000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
24 Hrs Urine - Metanephrines,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CD3,Laboratory, Isha Diagnostics,24 hrs,700,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CD8,Laboratory, Isha Diagnostics,24 hrs,700,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CD4 ABSOLUTE COUNT,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CRYPTOCOCCUS ANTIGEN,Laboratory, Isha Diagnostics,24 hrs,1800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Varicella Zoster IgG,Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Varicella Zoster IgM,Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
BODY FLUID ANALYSIS,Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SYNOVIAL FLUID ANALYSIS,Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Helicobacter Pylori PCR - STOOL,Laboratory, Isha Diagnostics,24 hrs,4500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Helicobacter Pylorii IgA,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Helicobacter Pylorii IgM,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
BRUCELLA IGM ANTIBODY,Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
RT- PCR ,Laboratory, Isha Diagnostics,24 hrs,950,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TISSUE TRANSGLUTAMINASE ANTIBODY - IGM,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
  TISSUE TRANSGLUTAMINASE ANTIBODY - IGG,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
BETA 2 GLYCOPROTEIN IGG,Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
BETA 2 GLYCOPROTEIN IGM,Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HERPES SIMPLEX VIRUS 1&2 (IGG & IGM),Laboratory, Isha Diagnostics,24 hrs,3200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ANCA - IFA,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
COLLAGEN SLE PROFILE,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
EBV IgG & IgM,Laboratory, Isha Diagnostics,24 hrs,3850,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HLTV I & II (IgG & IgM),Laboratory, Isha Diagnostics,24 hrs,3850,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SYPHILIS ANTIBIOTICS,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CHIKUNGUNYA IGG  IGM ANTIBODY (ELISA),Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
DENGUE IgM & IgG ANTIBODY (ELISA),Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TROPONIN I HIGH SENSITIVE,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HIV P24 ANTIGEN,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
 TORCH 8 PROFILE IGG IGM,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CHLAMYDIA TRACHOMATIS IGG,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
EPSTEIN BARR VIRUS EA IGM,Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HEPATITIS A VIRUS - IGM (HAV IGM),Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HEPATITIS A VIRUS - TOTAL (HAV TOTAL),Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Leptospira Antibody IgG,Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CYTOMEGALO VIRUS IGG AVIDITY,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
DENGUE FEVER NS1 ANTIGEN (ELISA),Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
IGG4 SUB CLASS,Laboratory, Isha Diagnostics,24 hrs,4000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SARS CoV 2 (Spike) ANTIBODY TITRE,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"ANTI CARDIOLIPIN ANTIBODIES, IGA",Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Toxoplasma gondii - IgG Avidity,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
FLUID FOR ALBUMIN,Laboratory, Isha Diagnostics,24 hrs,250,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
STOOL FAT GLOBULINS,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"TB Gold Plus, Interferon gamma release assay  (IGRA)",Laboratory, Isha Diagnostics,24 hrs,2500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TORCH 5 Profile IGM,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE VANILLYL MANDELIC ACID (VMA),Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
APLA EXTENDED,Laboratory, Isha Diagnostics,24 hrs,6000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Hepatitis A virus IgG Antibody,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Hepatitis A virus IgM Antibody,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"IMMUNOGLOBULINS (IGM,IGG,IGA) TOTAL",Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SPERM DNA FRAGMENTATION,Laboratory, Isha Diagnostics,24 hrs,6000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ASPERGILLUS FUMIGATUS IGE ANTIBODY,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HERPES SIMPLEX VIRUS 1 & 2 ( IGM),Laboratory, Isha Diagnostics,24 hrs,3200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Hepatitis E virus IgG Antibody,Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Hepatitis E virus IgM Antibody,Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"HEPATITIS PROFILE (HBSAG, HAV, HCV, HEV, HBEAG)",Laboratory, Isha Diagnostics,24 hrs,3600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HBsAg CLIA,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HCV Antibody CLIA,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HIV 1&2 Antibody CLIA,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CHLAMYDIA TRACHOMATIS IGM,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
AFB CULTURE  (TB CULTURE),Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ALBERT STAIN  ( FOR CORYNEBACTERIUM DIPHTHERIAE ),Laboratory, Isha Diagnostics,24 hrs,250,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ALLERGY INHALANT REPORT,Laboratory, Isha Diagnostics,24 hrs,4950,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"CHICKEN POX ( VARICELLA ZOSTER) ANTIBODY, IGG",Laboratory, Isha Diagnostics,24 hrs,3000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"CHICKEN POX ( VARICELLA ZOSTER) ANTIBODY, IGM",Laboratory, Isha Diagnostics,24 hrs,3000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE & SENSITIVITY -  TIP,Laboratory, Isha Diagnostics,24 hrs,450,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE & SENSITIVITY - BLOOD,Laboratory, Isha Diagnostics,24 hrs,850,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE & SENSITIVITY - BRONCHIAL WASH ,Laboratory, Isha Diagnostics,24 hrs,450,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE & SENSITIVITY - CVP TIP,Laboratory, Isha Diagnostics,24 hrs,450,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE & SENSITIVITY - ET TUBE TIP,Laboratory, Isha Diagnostics,24 hrs,450,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE & SENSITIVITY - EYE SWAB,Laboratory, Isha Diagnostics,24 hrs,450,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE & SENSITIVITY - FLUID,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE & SENSITIVITY - OT SWAB,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE & SENSITIVITY - PUS,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE & SENSITIVITY - SPUTUM,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE & SENSITIVITY - STOOL,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE & SENSITIVITY - SYNOVIAL FLUID,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE & SENSITIVITY - TISSUE,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE & SENSITIVITY - URINE,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE & SENSITIVITY - VAGINAL SWAB,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE & SENSITIVITY -THROAT SWAB,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE AND SENSITIVITY -  SWAB,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE AND SENSITIVITY - ASCITIC FLUID,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE AND SENSITIVITY - CEREBRO SPINAL FLUID(CSF),Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE AND SENSITIVITY - FUNGUS,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE AND SENSITIVITY - MOTHER'S MILK,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE AND SENSITIVITY - PLEURAL FLUID,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CULTURE AND SENSITIVITY - SEMEN,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
DENGUE ANTIBODIES - ELISA,Laboratory, Isha Diagnostics,24 hrs,1800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
DENGUE ANTIBODIES (IGG & IGM),Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
GRAM STAIN,Laboratory, Isha Diagnostics,24 hrs,300,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HELICOBACTER PYLORI (H. PYLORI) ANTIBODY TEST,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HELICOBACTER PYLORI (H. PYLORI) ANTIGEN TEST,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"HEPATITIS B ""E"" ANTIBODY ( ANTI HBe )",Laboratory, Isha Diagnostics,24 hrs,1600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HEPATITIS B CORE ANTIBODY                             ( TOTAL +IGM),Laboratory, Isha Diagnostics,24 hrs,3000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HEPATITIS B SURFACE ANTIBODY                             ( ANTI HBS ),Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"HEPATITIS C VIRUS ANTIBODY,ELISA (HCV)",Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
