Lab Test Name,Category Name,Lab / Organization,Turnaround time,Base Price,Discount,Clinic Address,Open Time,Closing Time,Block time,Sunday Hours
TROPONIN T QUNTITATIVE ,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Nor-Metanephrine-Free Plasma,Laboratory, Isha Diagnostics,24 hrs,5200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SARS CoV 2 Antibody IgM,Laboratory, Isha Diagnostics,24 hrs,1490,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
MYOSITIS PROFILE,Laboratory, Isha Diagnostics,24 hrs,9500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PERTUSSIS,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TETANUS TOXOID IGG - QUANTITATIVE,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
DIPTHERIA,Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ONCO PATHOLOGY,Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TROPONIN I (trop I )ELISA,Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
JC Virus Qualitative PCR,Laboratory, Isha Diagnostics,24 hrs,4900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
MENINGOCOCCAL (MENACTRA VACCINE),Laboratory, Isha Diagnostics,24 hrs,4950,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
MPN PANEL,Laboratory, Isha Diagnostics,24 hrs,7900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Factor VIII Activity,Laboratory, Isha Diagnostics,24 hrs,5000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Pulmonary Function Test,Laboratory, Isha Diagnostics,24 hrs,100,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HOMECOLLECTION CHARGES,Laboratory, Isha Diagnostics,24 hrs,250,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
NICOTINE -Serum,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
